word,count,type
我,21,trie
穿过,2,trie
黑暗,2,trie
之间,2,trie
到,2,trie
黎明,2,trie
之前,2,trie
跨过,2,trie
无数,2,trie
山巅,2,trie
才能,2,trie
和,2,trie
你,15,trie
周旋,2,trie
可是,5,trie
却,2,trie
不管,2,trie
这,2,trie
一切,2,trie
放任,2,trie
的,14,trie
爱,2,trie
就此,2,trie
幻灭,2,trie
黑夜,4,trie
 ,20,unknown
白天,4,trie
不断,4,trie
盘旋,4,trie
在,4,trie
身边,4,trie
我们,4,trie
置身,4,trie
危险,4,trie
边缘,4,trie
抱怨,4,trie
荡,4,trie
著,4,trie
秋千,4,trie
想,3,trie
不停,3,trie
往,3,trie
下坠,3,trie
月亮,3,trie
也,9,trie
会,3,trie
累,3,trie
那就,3,trie
就算,3,trie
算了,3,trie
哎哟,3,trie
喂,3,trie
反正,3,trie
懒得,3,trie
追,3,trie
take away your fake love,2,unknown
不,7,trie
需要,4,trie
回答,4,trie
抱,2,trie
着,2,trie
太,2,trie
多,2,unknown
废话,2,trie
You don't need love ,2,unknown
就,2,trie
回家,2,trie
fake love fake love,4,unknown
Don't need my love,2,unknown
每一,3,trie
次,3,trie
呼吸,3,trie
用尽力气,3,trie
怎么,3,trie
挤,3,trie
进,3,trie
热闹,3,trie
心,3,trie
